name,address,latitude,longitude,stars,good_for_meal,price,cuisine_1,cuisine_2,flavor,freshness,service,environment,value
&pizza - Walnut,430 Walnut St,39.9492067124,-75.1659201062,4.5,"latenight, lunch, dinner",$$,Pizza,Vegetarian,good flavor,good freshness,average service,good environment,good value
1225Raw Sushi and Sake Lounge,1225 Sansom St,39.9498493,-75.1615489,3.5,dinner,$$,Japanese,Korean,average flavor,average freshness,below average service,good environment,below average value
2nd Story Brewing,117 Chestnut St,39.9484739,-75.1435556,4.0,"latenight, lunch, dinner",$$,American (New),Not Applicable,good flavor,good freshness,average service,good environment,good value
48th Street Grille,310 S 48th St,39.9531368,-75.2186607,4.5,"lunch, dinner",$$,American (New),Seafood,good flavor,good freshness,average service,good environment,average value
A La Mousse,145 N 11th St,39.9552167,-75.1574268,4.5,dessert,$$,Not Applicable,Not Applicable,good flavor,good freshness,average service,good environment,average value
a.kitchen,135 S 18th St,39.950323,-75.170538,3.5,dinner,$$$,Modern European,American (New),good flavor,good freshness,average service,good environment,average value
Abe Fisher,1623 Sansom St,39.9507508655,-75.1682812761,4.5,dinner,$$$,Modern European,Not Applicable,excellent flavor,excellent freshness,good service,good environment,good value
Abyssinia,229 S 45th St,39.9541658,-75.2116004,3.5,dinner,$$,Ethiopian,Not Applicable,good flavor,good freshness,below average service,below average environment,good value
Aki Nom Nom Sushi & Ramen,1210 Walnut St,39.948896,-75.1611319,3.5,"lunch, dinner",$$,Japanese,Not Applicable,average flavor,below average freshness,below average service,average environment,average value
Aksum Cafe,4630 Baltimore Ave,39.9485474,-75.2163663,4.0,"dinner, brunch",$$,Mediterranean,Vegetarian,average flavor,average freshness,below average service,average environment,below average value
Alma de Cuba,1623 Walnut St,39.9500808,-75.1685265,4.0,dinner,$$$,Latin American,Cuban,good flavor,good freshness,good service,good environment,average value
Almaz Cafe,140 S 20th St,39.9506628,-75.1739332,4.0,"lunch, dinner",$$,Ethiopian,American (Traditional),good flavor,good freshness,excellent service,good environment,good value
Alyan's Restaurant,603 S 4th St,39.9414081509,-75.1490631994,4.0,"lunch, dinner",$,Middle Eastern,Not Applicable,good flavor,good freshness,average service,average environment,excellent value
Amada,217 Chestnut St,39.9485863525,-75.1449131188,4.0,dinner,$$,Spanish,Iberian,good flavor,good freshness,average service,good environment,average value
American Sardine Bar,1800 Federal St,39.936536,-75.17375,4.0,"latenight, dinner",$$,American,Not Applicable,good flavor,good freshness,average service,good environment,good value
Amma's South Indian Cuisine,1518 Chestnut St,39.950914,-75.1664173,4.0,"lunch, dinner",$$,Indian,Not Applicable,excellent flavor,good freshness,average service,good environment,good value
Anastasi Seafood,1101 S 9th St,39.936139,-75.158194,4.0,"lunch, dinner",$$,Seafood,Not Applicable,good flavor,excellent freshness,below average service,average environment,good value
Angelo's Pizzeria,736 S 9th St,39.9406517812,-75.1576136221,4.5,"lunch, dinner",$$,Not Applicable,Not Applicable,excellent flavor,excellent freshness,average service,average environment,good value
Animo Juice,1701 Arch St,39.9551232973,-75.1681293836,4.0,"lunch, breakfast",$$,Vegan,Mexican,good flavor,good freshness,average service,good environment,average value
Ants Pants Café,2212 S St,39.9451562,-75.179105,4.0,"lunch, brunch, breakfast",$$,Not Applicable,Not Applicable,good flavor,good freshness,average service,average environment,average value
Apricot Stone,"1040 N American St, Ste 601",39.9673315908,-75.1404441921,4.5,"dessert, dinner",$$,Mediterranean,Armenian,excellent flavor,excellent freshness,good service,good environment,excellent value
Baby Blues BBQ Philly,3432 Sansom St,39.953630921,-75.1929846337,3.5,"lunch, dinner",$$,Barbeque,Soul Food,average flavor,average freshness,below average service,average environment,below average value
Banana Leaf,1009 Arch St,39.9537784576,-75.157045316,3.5,dinner,$$,Asian Fusion,Not Applicable,average flavor,average freshness,average service,average environment,average value
Bank & Bourbon,1200 Market St,39.9517241479,-75.1601829009,3.5,"dinner, brunch",$$$,American (New),Not Applicable,good flavor,good freshness,average service,good environment,average value
Bar Bombón,133 S 18th St,39.9506592976,-75.1705476767,4.0,"lunch, dinner",$$,Latin American,Not Applicable,good flavor,good freshness,average service,good environment,average value
Bar Hygge,1720 Fairmount Ave,39.9671254924,-75.1661240918,4.5,"dinner, brunch",$$,Comfort Food,Not Applicable,good flavor,good freshness,good service,excellent environment,average value
Bar-Ly Chinatown,101 N 11th St,39.9540709,-75.1576818,4.0,"latenight, dinner",$$,American (New),Not Applicable,average flavor,average freshness,average service,good environment,good value
Barbuzzo,110 S 13th St,39.950007,-75.1621577,4.5,dinner,$$,Italian,Mediterranean,good flavor,good freshness,average service,average environment,good value
Barcade,1114 Frankford Ave,39.9673696,-75.1345292,3.5,,$$,Mexican,Not Applicable,good flavor,average freshness,average service,average environment,good value
Barcelona Wine Bar Passyunk,1709 E Passyunk Ave,39.9280846,-75.1652545,4.5,"latenight, dinner",$$$,Spanish,Not Applicable,good flavor,good freshness,good service,good environment,average value
Barclay Prime,237 S 18th St,39.9487096,-75.1708743,4.5,dinner,$$$$,Steakhouses,Not Applicable,excellent flavor,excellent freshness,good service,good environment,average value
Barra Rossa Ristorante,929 Walnut St,39.9485666341,-75.157169,3.5,dinner,$$,Italian,Not Applicable,average flavor,average freshness,below average service,average environment,average value
Beck's Cajun Cafe,51 N 12th St,39.9533224742,-75.1590000821,4.0,lunch,$$,Cajun/Creole,Not Applicable,good flavor,good freshness,good service,good environment,good value
Beiler's Bakery,51 N 12th St,39.953764,-75.159218,4.5,Unknown,$,Not Applicable,Not Applicable,excellent flavor,excellent freshness,good service,good environment,excellent value
Bellini,220 S 16th St,39.949084,-75.167867,3.0,dinner,$$,Italian,Not Applicable,average flavor,average freshness,below average service,below average environment,below average value
Bibou,1009 S 8th St,39.9365031566,-75.1566941459,4.5,dinner,$$$,French,Not Applicable,good flavor,good freshness,good service,good environment,good value
Bing Bing Dim Sum,1648 E Passyunk Ave,39.9289898,-75.1647415,4.0,dinner,$$,Asian Fusion,Chinese,good flavor,good freshness,average service,good environment,average value
Bistro Romano,120 Lombard St,39.9419372505,-75.1446834884,4.0,dinner,$$,Italian,Mediterranean,good flavor,good freshness,good service,excellent environment,good value
Bistrot La Minette,623 S 6th St,39.9414622968,-75.1523852348,4.5,dinner,$$$,French,Breakfast & Brunch,excellent flavor,excellent freshness,good service,excellent environment,good value
Black & Brew,1523 E Passyunk Ave,39.9302929,-75.1627686,4.0,"lunch, brunch, breakfast",$,Breakfast & Brunch,Not Applicable,good flavor,average freshness,average service,average environment,average value
Bleu Sushi,262 S 10th St,39.9463986271,-75.157800703,4.5,"lunch, dinner",$$,Asian Fusion,Japanese,average flavor,average freshness,below average service,average environment,average value
Blue Corn,940 S 9th St,39.9377652566,-75.1583243076,4.5,"lunch, dinner",$$,Mexican,Not Applicable,good flavor,good freshness,good service,good environment,good value
Bluestone Lane,1701 Locust St,39.9489487,-75.1695317,4.0,"lunch, brunch, breakfast",$$,Australian,Not Applicable,good flavor,good freshness,average service,average environment,average value
Bonchon Philadelphia,1020 Cherry St,39.954502,-75.15699,3.5,"latenight, lunch, dinner",$$,Asian Fusion,Korean,good flavor,average freshness,below average service,average environment,average value
Booker's Restaurant and Bar,5021 Baltimore Ave,39.948041,-75.2242388,3.5,"dessert, lunch, dinner, brunch",$$,American (Traditional),American (New),good flavor,good freshness,average service,good environment,average value
Bottle Bar East,1308 Frankford Ave,39.970471,-75.134725,4.0,"latenight, lunch, dinner",$$,American (Traditional),Not Applicable,good flavor,good freshness,average service,good environment,average value
Bourbon & Branch,705 N 2nd St,39.96207,-75.14104,4.0,"lunch, dinner, brunch",$$,American (Traditional),Not Applicable,good flavor,average freshness,average service,good environment,good value
Branzino Italian Ristorante,261 S 17th St,39.9480133,-75.1693585,3.5,dinner,$$,Italian,Not Applicable,average flavor,average freshness,below average service,good environment,below average value
Brauhaus Schmitz,718 South St,39.9423058586,-75.1546984195,4.0,dinner,$$$,German,Not Applicable,good flavor,good freshness,average service,good environment,average value
Bredenbeck's Bakery & Ice Cream Parlor,8126 Germantown Ave,40.0724995,-75.202403,4.0,Unknown,$$,Not Applicable,Not Applicable,average flavor,average freshness,below average service,good environment,average value
BRÜ Craft & Wurst,1318 Chestnut St,39.9503152253,-75.1624865435,3.5,"latenight, lunch, dinner",$$,German,Not Applicable,good flavor,average freshness,below average service,average environment,average value
Bubblefish,909 Arch St,39.9536791,-75.1551081,4.0,"dessert, lunch, dinner",$$,Japanese,Taiwanese,average flavor,average freshness,below average service,average environment,average value
Bud & Marilyn's,1234 Locust St,39.947787,-75.162293,4.0,"dinner, brunch",$$,American (Traditional),Not Applicable,good flavor,good freshness,average service,good environment,good value
Buddakan,325 Chestnut St,39.9489186,-75.1471667,4.0,dinner,$$$,Asian Fusion,Chinese,good flavor,good freshness,average service,excellent environment,average value
Buena Onda,1901 Callowhill St,39.9609147337,-75.1708267829,4.0,lunch,$$,Mexican,Not Applicable,good flavor,good freshness,average service,good environment,average value
BurgerFi,1200 Arch St,39.9535213,-75.1597442,3.0,"lunch, dinner",$$,American (New),American (Traditional),average flavor,average freshness,below average service,average environment,below average value
Butcher and Singer,1500 Walnut St,39.9493338,-75.1661758,4.5,dinner,$$$$,American (Traditional),Not Applicable,good flavor,good freshness,good service,excellent environment,good value
